Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Property Age,Tenure Type Encoded,Property Type Encoded,Land Title Encoded,Transit Zone,Facility Count,Facility Tier,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Melaka,State_Negeri Sembilan,State_Other,State_Pahang,State_Penang,State_Perak,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu
3.0,2.0,870.0,29.0,391.0,2.0,10.0,0,5,2,0,9,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3.0,2.0,650.0,20.0,462.0,1.0,12.0,0,0,1,1,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1097.0,22.0,188.0,1.0,18.0,1,0,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,700.0,18.0,136.0,1.0,32.0,1,1,2,0,4,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2.0,1.0,650.0,18.0,1064.0,1.0,28.0,1,0,1,1,3,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2.0,2.0,700.0,17.0,462.0,1.0,12.0,1,3,1,1,6,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3.0,2.0,947.0,20.0,462.0,2.0,12.0,0,1,2,1,6,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,1151.0,20.0,462.0,1.0,12.0,1,5,2,0,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,1045.0,20.0,462.0,1.0,12.0,0,0,2,0,4,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3.0,2.0,1100.0,20.0,462.0,2.0,12.0,1,1,2,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1250.0,20.0,474.0,2.0,10.0,1,1,2,1,6,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,801.0,20.0,462.0,1.0,12.0,0,0,1,1,9,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1148.0,12.0,462.0,1.0,12.0,1,0,2,1,5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1230.0,27.0,357.0,2.0,9.0,1,1,2,0,6,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,850.0,49.0,2155.0,2.0,10.0,0,1,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,1.0,678.0,20.0,462.0,1.0,12.0,1,3,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,1003.0,20.0,363.0,2.0,8.0,1,5,2,1,5,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,860.0,27.0,462.0,1.0,21.0,1,1,2,0,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.0,2.0,940.0,38.0,2647.0,2.0,7.0,1,5,2,1,10,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.0,1.0,678.0,27.0,303.0,1.0,12.0,0,1,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,850.0,10.0,20.0,1.0,26.0,0,0,2,1,3,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,882.0,31.0,360.0,1.0,30.0,1,1,2,0,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.0,5.0,2266.0,28.0,462.0,1.0,12.0,0,1,2,0,8,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4.0,2.0,1335.0,17.0,950.0,1.0,20.0,1,1,2,1,14,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,1100.0,20.0,462.0,1.0,12.0,1,1,2,0,5,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2.0,1.0,520.0,20.0,462.0,1.0,12.0,0,3,1,0,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,764.0,18.0,200.0,1.0,20.0,0,0,1,1,5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,936.0,38.0,420.0,2.0,15.0,1,1,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,1100.0,30.0,265.0,2.0,4.0,1,1,1,1,11,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.0,1.0,624.0,20.0,462.0,1.0,12.0,0,0,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False
