Bedroom,Bathroom,Property Size,Ad List,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,Firm Type,Firm Number,REN Number,Park,School,price
4.0,2.0,1000.0,98187451,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kenwingston Platz,Kenwingston Group,Freehold,"Jalan Gombak, Setapak, Kuala Lumpur",2014.0,20.0,462.0,Service Residence,2.0,Medium,Non Bumi Lot,VE,30338,REN 22963,"Park at Taman Tasik Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park at Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park 1 at Setapak Garden, Setapak, Kuala Lumpur, Malaysia","Sekolah Menengah Pendidikan Khas Cacat Penglihatan
Sekolah Kebangsaan Danau Kota
SJK (C) Wangsa Maju
Kolej Vokasional Setapak
Sri Utama Schools
SK Danau Kota (2)
SMK Danau Kota",340000
3.0,2.0,980.0,101683090,"Parking, Security, Swimming Pool, Playground, Barbeque area, Jogging Track",Kenanga (Park View Court),Ideal Property Group,Freehold,"Jalan Kenanga 3/8, Melaka City, Melaka",2014.0,20.0,462.0,Apartment,1.0,Low,Non Bumi Lot,E,30812,REN 15862,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,250000
3.0,2.0,1000.0,103792905,"Playground, Minimart, Jogging Track, Barbeque area, Parking, Security, Lift",Sri Lavender Apartment,TLS Group,Freehold,"Jalan Sepakat Indah 2/1, Taman Sepakat Indah 2, Kajang, Selangor",2007.0,13.0,445.0,Apartment,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,230000
3.0,1.0,592.0,103806240,"Parking, Playground, Minimart, Jogging Track",Flat Pandan Indah,Ideal Property Group,Leasehold,"jalan pandan indah 3/3, Selangor, Ampang",2014.0,20.0,462.0,Flat,1.0,Medium,Non Bumi Lot,E,11584,REN 16279,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,158000
1.0,1.0,467.0,103806234,"Minimart, Gymnasium, Parking, Security",i-Soho @ i-City,i-Berhad,Freehold,"Jalan Plumbum 7/102, Shah Alam, Selangor",2014.0,43.0,956.0,Studio,1.0,Low,Bumi Lot,E,31916,REN 22963,"Park 2 at Section 7, Shah Alam
Park 1 at Section 7, Shah Alam","Sekolah Jenis Kebangsaan (T) Ladang Midlands
Sekolah Kebangsaan Seksyen 7",305000
3.0,2.0,1100.0,103739787,"Parking, Swimming Pool, Multipurpose hall, Sauna, Minimart, Barbeque area, Security, Playground, Gymnasium, Tennis Court, Lift",D'Piazza Condominium,X-Scan Penang Sdn Bhd,Freehold,"Jalan Mayang Pasir 2, Bayan Baru, Penang",2010.0,19.0,706.0,Condominium,1.0,Low,Non Bumi Lot,E,11307,REN 61472,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,425000
3.0,2.0,780.0,103690767,"Parking, Playground, Barbeque area, Security",Pangsapuri Sri Alpinia,IOI Properties Group Berhad,Freehold,"Persiaran Indera, Pusat Bandar Puchong, Puchong, Selangor",2014.0,5.0,281.0,Condominium,1.0,Medium,Non Bumi Lot,E,31484,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,230000
3.0,2.0,852.0,103615852,"Parking, Playground, Swimming Pool, Multipurpose hall, Security, Gymnasium, Club house, Barbeque area, Minimart, Jogging Track, Lift",Vista Lavender,Talam Transform Berhad,Leasehold,"Persiaran Kinrara Seksyen 3, Bandar Kinrara, Puchong, Selangor",2000.0,12.0,462.0,Apartment,1.0,Medium,Non Bumi Lot,E,31484,REN 22963,"Park at Taman Kinrara Seksyen 7, Subang Jaya
Park at Taman Kinrara Seksyen 4, Subang Jaya
Park at Taman Kinrara, Subang Jaya
Park at Taman Kinrara Seksyen 3, Bukit Tandang
Park at Taman Bukit Kuchai, Bukit Tandang
Park at Kinrara Ria Apartments, Subang Jaya
Park at Flat Taman Kinrara, Subang Jaya
Park at Bandar Kinrara 3 Park, Bandar Kinrara
Park at Pangsapuri Mawar, Bukit Tandang
Park at Taman Kinrara Seksyen 2, Subang Jaya
Park 1 at Bandar Kinrara, Subang Jaya","Kafa Integrasi Al-Falah
Sekolah Jenis Kebangsaan (Cina) Yak Chee
Sekolah Kebangsaan Bukit Kuchai
Sekolah Kebangsaan Seksyen 1 Bandar Kinrara",200000
3.0,2.0,918.0,103615849,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",Pangsapuri Damai,Ikram Ikhlas,Leasehold,"Jalan Tokoh 25/28, Shah Alam, Selangor",2014.0,20.0,462.0,Apartment,1.0,Medium,Bumi Lot,E,31484,REN 22963,"Park 2 at Section 23, Taman Sri Muda
Park 1 at Section 23, Taman Sri Muda","Sekolah Kebangsaan Taman Sri Muda
Madrasah Tahfizul Quran wa Ta'alim Al-Islamiyah
Sekolah Agama Rendah Kafa Integrasi Al-Falah
Sekolah Kebangsaan Taman Sri Muda 2",275000
3.0,2.0,850.0,102460346,"Multipurpose hall, Parking, Security, Swimming Pool",Alam Prima,Syarikat Perumahan Negara Berhad,Freehold,"No. 6 Jalan Budiman 22/3, Seksyen 22,, Shah Alam, Selangor",2010.0,435.0,435.0,Apartment,2.0,Medium,Bumi Lot,E,31484,REN 22963,"Park at Section 21, Shah Alam
Park at Taman Mutiara Subang, Batu Tiga",Vikas International School,300000
