Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Property Age,Tenure Type Encoded,Property Type Encoded,Land Title Encoded,Transit Zone,Facility Count,Facility Tier,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Melaka,State_Negeri Sembilan,State_Other,State_Pahang,State_Penang,State_Perak,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu,price
4.0,2.0,1000.0,20.0,462.0,2.0,12.0,1,5,2,1,14,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,340000.0
3.0,2.0,980.0,20.0,462.0,1.0,12.0,1,0,2,0,6,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,250000.0
3.0,2.0,1000.0,13.0,445.0,1.0,19.0,1,0,2,1,7,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,230000.0
3.0,1.0,592.0,20.0,462.0,1.0,12.0,0,3,2,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,158000.0
1.0,1.0,467.0,43.0,956.0,1.0,12.0,1,6,1,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,305000.0
3.0,2.0,1100.0,19.0,706.0,1.0,16.0,1,1,2,0,11,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,425000.0
3.0,2.0,780.0,5.0,281.0,1.0,12.0,1,1,2,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,230000.0
3.0,2.0,852.0,12.0,462.0,1.0,26.0,0,0,2,1,11,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,200000.0
3.0,2.0,918.0,20.0,462.0,1.0,12.0,0,0,1,1,6,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,275000.0
3.0,2.0,850.0,435.0,435.0,2.0,16.0,1,0,1,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,300000.0
3.0,2.0,660.0,18.0,701.0,1.0,18.0,1,0,2,0,3,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,265000.0
3.0,2.0,1246.0,24.0,1235.0,2.0,5.0,1,1,2,0,9,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,790000.0
2.0,1.0,550.0,20.0,462.0,1.0,12.0,1,3,2,0,2,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,230000.0
3.0,2.0,1250.0,20.0,428.0,2.0,10.0,1,1,2,1,11,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,340000.0
3.0,2.0,1048.0,10.0,462.0,1.0,36.0,1,0,2,1,12,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,230000.0
3.0,2.0,1150.0,20.0,428.0,1.0,28.0,1,1,2,0,12,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,430000.0
2.0,1.0,553.0,20.0,462.0,1.0,12.0,0,3,1,0,14,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,155000.0
3.0,2.0,901.0,33.0,490.0,2.0,6.0,1,1,2,0,8,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,500000.0
1.0,1.0,452.0,12.0,136.0,1.0,6.0,1,6,1,1,8,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,350000.0
2.0,2.0,1016.0,44.0,378.0,2.0,8.0,1,1,2,0,8,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,620000.0
4.0,2.0,900.0,5.0,462.0,2.0,12.0,1,0,1,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,310000.0
3.0,2.0,650.0,17.0,462.0,1.0,12.0,0,0,1,1,5,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,240000.0
3.0,2.0,1182.0,25.0,300.0,2.0,11.0,1,1,2,0,9,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,500000.0
3.0,2.0,872.0,20.0,462.0,2.0,12.0,1,0,2,1,12,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,341500.0
1.0,2.0,450.0,20.0,462.0,1.0,12.0,1,1,2,1,11,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,230500.0
2.0,2.0,1005.0,20.0,1050.0,1.0,8.0,1,1,2,0,12,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,515000.0
1.0,1.0,430.0,25.0,2003.0,1.0,7.0,1,5,2,0,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,200000.0
3.0,2.0,1050.0,4.0,462.0,1.0,12.0,1,5,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,298000.0
3.0,2.0,986.0,25.0,585.0,2.0,11.0,1,0,2,0,13,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,418000.0
3.0,2.0,950.0,20.0,309.0,1.0,12.0,1,0,2,1,3,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,220000.0
3.0,2.0,1055.0,20.0,462.0,2.0,12.0,0,1,2,1,12,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,320000.0
3.0,2.0,1017.0,20.0,462.0,2.0,12.0,1,5,2,1,12,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,280000.0
4.0,3.0,1387.0,35.0,3224.0,2.0,8.0,1,5,2,0,11,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1150000.0
3.0,2.0,720.0,20.0,160.0,1.0,8.0,0,1,2,0,7,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,320000.0
4.0,4.0,1474.0,35.0,212.0,2.0,6.0,1,1,2,1,9,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,880000.0
2.0,1.0,788.0,20.0,462.0,1.0,12.0,0,5,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,550000.0
2.0,1.0,517.0,20.0,462.0,1.0,12.0,1,0,2,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,180000.0
3.0,2.0,650.0,5.0,462.0,1.0,12.0,0,3,2,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,200000.0
3.0,2.0,850.0,20.0,536.0,2.0,12.0,1,0,2,1,3,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,300000.0
3.0,2.0,800.0,20.0,462.0,2.0,12.0,0,0,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,438000.0
3.0,2.0,1432.0,20.0,684.0,2.0,12.0,0,1,2,0,10,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,700000.0
2.0,1.0,527.0,20.0,462.0,1.0,12.0,0,3,1,1,2,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,195000.0
3.0,2.0,1108.0,20.0,462.0,1.0,12.0,0,1,2,0,9,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,493000.0
3.0,2.0,860.0,20.0,462.0,1.0,12.0,0,0,1,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,195000.0
3.0,2.0,1011.0,26.0,440.0,1.0,12.0,1,0,2,0,12,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,420000.0
3.0,2.0,925.0,20.0,1188.0,1.0,24.0,1,1,2,1,9,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,255000.0
3.0,2.0,753.0,20.0,462.0,1.0,12.0,1,0,1,1,5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,240000.0
3.0,2.0,1093.0,20.0,634.0,1.0,12.0,0,1,1,1,8,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,350000.0
3.0,3.0,1400.0,29.0,260.0,2.0,11.0,1,1,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,978000.0
3.0,2.0,800.0,4.0,75.0,2.0,12.0,1,0,2,1,8,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,260000.0
3.0,2.0,953.0,4.0,462.0,1.0,12.0,1,0,2,0,5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,263000.0
3.0,2.0,750.0,20.0,462.0,1.0,12.0,1,0,2,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,168000.0
3.0,2.0,1152.0,21.0,424.0,1.0,11.0,0,4,2,1,10,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,530000.0
3.0,2.0,1334.0,30.0,1039.0,2.0,7.0,1,1,2,1,12,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,950000.0
1.0,1.0,705.0,41.0,1040.0,1.0,11.0,1,5,2,1,11,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,375000.0
3.0,2.0,689.0,20.0,462.0,1.0,12.0,1,0,2,0,4,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,200000.0
3.0,2.0,1700.0,20.0,462.0,1.0,12.0,0,1,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,580000.0
